player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp
Branden Carlson,C,C,6.62,3700,OKC,MIN,away,117.5,10.5,0.9722,17.9,0.0,0.9722,0.9995091324200912,1.0648066248682573,0.99399202389379,68.8,1.0,False,7.33,0.535,1.0035,6.83
Klay Thompson,SF/SG,SF,8.05,4300,DAL,CHA,home,111.5,18.3,0.8318,22.7,1.0511514651258769,0.8587622666116385,1.0084817351598174,0.969269782518578,0.9727687852687852,89.6,1.0,False,4.4,0.848,1.0348,6.8
Pat Connaughton,SG,SG,8.05,3500,CHA,DAL,away,115.0,5.98,0.8543,14.6,0.0,0.8543,0.9924543378995434,1.0161980555823025,1.0527692408291376,45.8,0.9,True,4.71,0.607,1.0107,6.64
Nolan Traore,PG,PG,11.29,4100,BKN,DEN,home,101.5,12.39,0.6661,17.9,0.0,0.6661,1.0322716894977169,1.0262798329156857,0.9370512976997591,47.9,0.9,True,8.11,0.375,0.9875,6.63
Chaz Lanier,SG,SG,11.81,3500,DET,PHO,away,109.0,6.25,0.672,14.1,0.564,0.6908160000000001,1.002945205479452,0.9489862066930808,0.9691102848002658,35.4,0.85,True,7.45,0.359,0.9859,6.31
Asa Newell,PF,PF,6.9,3500,ATL,HOU,home,108.5,9.83,0.9274,17.4,1.680432432432432,0.990095581981982,1.0380593607305937,0.9531869472486572,0.9265640432175744,68.8,1.0,False,6.93,0.563,1.0063,6.3
Jae'Sean Tate,SF,SF,8.52,3600,HOU,ATL,away,114.0,5.53,0.7276,13.1,0.0,0.7276,1.002945205479452,1.0221991135188402,1.008724415960306,58.3,0.95,True,4.92,0.654,1.0154,6.18
Keshad Johnson,SF,SF,7.83,3500,MIA,CHI,away,120.5,6.41,0.8434,18.3,0.6403023758099352,0.8640569244060475,0.97513698630137,1.006716384042573,1.0810514458876186,39.6,0.85,True,7.7,0.362,0.9862,6.02
DaRon Holmes,C/PF,C,10.38,3600,DEN,BKN,away,108.0,9.35,0.6631,12.8,0.0,0.6631,1.036678082191781,1.0626462440111035,0.92844253003854,25.0,0.85,True,,0.339,0.9839,5.89
Ryan Nembhard,PG,PG,6.87,3800,DAL,CHA,home,111.5,16.08,0.8246,17.9,0.8288815517952951,0.8513288832026413,1.0084817351598174,1.0089967860584572,0.9727687852687852,70.8,1.0,False,8.51,0.46,0.996,5.77
Julian Phillips,SF,SF,7.61,3500,CHI,MIA,home,118.0,6.36,0.6913,12.0,0.8764044943820223,0.7266417415730337,0.9560958904109588,1.007676553312419,1.0328545891635332,66.7,1.0,False,6.63,0.574,1.0074,5.54
Julian Strawther,SF,SF,8.05,3900,DEN,BKN,away,108.0,7.7,0.7333,20.0,0.0,0.7333,1.036678082191781,1.0087567437409957,0.92844253003854,50.0,0.95,True,6.33,0.512,1.0012,5.45
Liam McNeeley,SF,SF,7.83,3500,CHA,DAL,away,115.0,8.32,0.682,14.0,0.0,0.682,0.9924543378995434,0.9589479628677332,1.0527692408291376,58.3,0.95,True,5.74,0.596,1.0096,5.13
E.J. Liddell,PF,PF,7.52,3500,BKN,DEN,home,101.5,3.4,0.7907,16.0,0.0,0.7907,1.0322716894977169,1.0349213563442998,0.9370512976997591,18.8,0.85,True,1.73,0.594,1.0094,5.11
Khaman Maluach,C,C,7.38,3500,PHO,DET,home,105.5,3.8,0.8261,16.1,0.0,0.8261,1.0380593607305937,1.0152378863124565,0.915197211074628,39.6,0.85,True,2.95,0.698,1.0198,5.1
Bobi Klintman,PF,PF,7.61,3500,DET,PHO,away,109.0,6.26,0.7825,20.1,0.804,0.80441,1.002945205479452,0.9815119407091148,0.9691102848002658,14.6,0.85,True,4.56,0.462,0.9962,4.95
Hunter Tyson,SF,PF,7.83,3600,DEN,BKN,away,108.0,5.94,0.7425,17.9,0.0,0.7425,1.036678082191781,1.0318008062173003,0.92844253003854,37.5,0.85,True,7.51,0.365,0.9865,4.84
Miles Kelly,PG,SG,7.68,3500,DAL,CHA,home,111.5,6.08,0.7506,16.1,0.745530334296327,0.7749302203879488,1.0084817351598174,0.9799516656456152,0.9727687852687852,20.8,0.85,True,6.75,0.336,0.9836,4.78
Ousmane Dieng,PF,PF,6.87,3600,OKC,MIN,away,117.5,8.29,0.7025,13.9,0.0,0.7025,0.9995091324200912,1.0082766591060728,0.99399202389379,50.0,0.95,True,7.09,0.458,0.9958,4.57
Jeff Green,SF,PF,6.99,3500,HOU,ATL,away,114.0,3.05,0.6932,16.4,0.0,0.6932,1.002945205479452,1.0369617160427227,1.008724415960306,31.2,0.85,True,2.06,0.656,1.0156,4.39
Brooks Barnhizer,SF,SF,7.83,3500,OKC,MIN,away,117.5,4.54,0.6053,8.3,0.0,0.6053,0.9995091324200912,0.9261821865342378,0.99399202389379,52.1,0.95,True,4.36,0.663,1.0163,4.21
Lachlan Olbrich,C,C,7.52,3500,CHI,MIA,home,118.0,3.6,0.5373,7.9,0.5769662921348314,0.5647687078651685,0.9560958904109588,1.0952919991858685,1.0328545891635332,22.9,0.85,True,5.13,0.462,0.9962,3.89
Nigel Hayes-Davis,SF,PF,7.61,3500,PHO,DET,home,105.5,4.19,0.5513,12.1,0.0,0.5513,1.0380593607305937,1.0125974208203798,0.915197211074628,52.1,0.95,True,5.34,0.593,1.0093,3.87
Isaiah Livers,PF,PF,5.4,3600,PHO,DET,home,105.5,7.6,0.7308,10.1,0.0,0.7308,1.0380593607305937,1.0125974208203798,0.915197211074628,50.0,0.95,True,6.14,0.526,1.0026,3.62
Vit Krejci,SG/SF,PG,4.44,3600,ATL,HOU,home,108.5,16.47,0.7419,14.5,1.40036036036036,0.7920551135135135,1.0380593607305937,0.9890732737091522,0.9265640432175744,93.8,1.0,False,,0.683,1.0183,3.41
Luke Kennard,SG/PG,SG,4.12,4100,ATL,HOU,home,108.5,15.6,0.7573,12.8,1.2361801801801802,0.808496209009009,1.0380593607305937,0.9427451064390816,0.9265640432175744,89.6,1.0,False,5.84,0.745,1.0245,3.09
Keaton Wallace,PG,PG,2.35,3500,ATL,HOU,home,108.5,10.09,0.8698,15.3,1.4776216216216214,0.9286016144144144,1.0380593607305937,0.9890732737091522,0.9265640432175744,79.2,1.0,False,7.3,0.589,1.0089,2.09
